,text,tokens,filtered_tokens,tagged_tokens,nouns
10," price is reasonable, it is hard to find","['price', 'is', 'reasonable', ',', 'it', 'is', 'hard', 'to', 'find']","['price', 'reasonable', ',', 'hard', 'find']","[('price', 'NN'), ('reasonable', 'JJ'), (',', ','), ('hard', 'JJ'), ('find', 'NN')]","['price', 'find']"
11,but that was the fun of it trying to find it,"['but', 'that', 'was', 'the', 'fun', 'of', 'it', 'trying', 'to', 'find', 'it']","['fun', 'trying', 'find']","[('fun', 'NN'), ('trying', 'VBG'), ('find', 'VB')]",['fun']
12," no name, no sign","['no', 'name', ',', 'no', 'sign']","['name', ',', 'sign']","[('name', 'NN'), (',', ','), ('sign', 'NN')]","['name', 'sign']"
13, if your clubbing @ the Cosmo and your have the munchies this is your place,"['if', 'your', 'clubbing', '@', 'the', 'Cosmo', 'and', 'your', 'have', 'the', 'munchies', 'this', 'is', 'your', 'place']","['clubbing', '@', 'cosmo', 'munchies', 'place']","[('clubbing', 'VBG'), ('@', 'JJ'), ('cosmo', 'NN'), ('munchies', 'NNS'), ('place', 'VBP')]","['cosmo', 'munchies']"
14," they use fresh toppings, crust is thin and very tasty.","['they', 'use', 'fresh', 'toppings', ',', 'crust', 'is', 'thin', 'and', 'very', 'tasty', '.']","['use', 'fresh', 'toppings', ',', 'crust', 'thin', 'tasty', '.']","[('use', 'NN'), ('fresh', 'JJ'), ('toppings', 'NNS'), (',', ','), ('crust', 'NN'), ('thin', 'JJ'), ('tasty', 'NN'), ('.', '.')]","['use', 'toppings', 'crust', 'tasty']"
15,This place is truly a secret!  Its so hidden that there are no signs in the directory of the restaurant itself except for the line of people waiting to enjoy a slice of the best pizza they ever had,"['This', 'place', 'is', 'truly', 'a', 'secret', '!', 'Its', 'so', 'hidden', 'that', 'there', 'are', 'no', 'signs', 'in', 'the', 'directory', 'of', 'the', 'restaurant', 'itself', 'except', 'for', 'the', 'line', 'of', 'people', 'waiting', 'to', 'enjoy', 'a', 'slice', 'of', 'the', 'best', 'pizza', 'they', 'ever', 'had']","['this', 'place', 'truly', 'secret', '!', 'its', 'hidden', 'signs', 'directory', 'restaurant', 'except', 'line', 'people', 'waiting', 'enjoy', 'slice', 'best', 'pizza', 'ever']","[('this', 'DT'), ('place', 'NN'), ('truly', 'RB'), ('secret', 'JJ'), ('!', '.'), ('its', 'PRP$'), ('hidden', 'JJ'), ('signs', 'NNS'), ('directory', 'NN'), ('restaurant', 'NN'), ('except', 'IN'), ('line', 'NN'), ('people', 'NNS'), ('waiting', 'VBG'), ('enjoy', 'JJ'), ('slice', 'NN'), ('best', 'JJS'), ('pizza', 'NN'), ('ever', 'RB')]","['place', 'signs', 'directory', 'restaurant', 'line', 'people', 'slice', 'pizza']"
16," It is thin crust pizza, crispy crust and delicious toppings!  If you can go for lunch there is less of a line.
Their pepperoni was nice and oily just the way i like it","['It', 'is', 'thin', 'crust', 'pizza', ',', 'crispy', 'crust', 'and', 'delicious', 'toppings', '!', 'If', 'you', 'can', 'go', 'for', 'lunch', 'there', 'is', 'less', 'of', 'a', 'line', '.', 'Their', 'pepperoni', 'was', 'nice', 'and', 'oily', 'just', 'the', 'way', 'i', 'like', 'it']","['it', 'thin', 'crust', 'pizza', ',', 'crispy', 'crust', 'delicious', 'toppings', '!', 'if', 'go', 'lunch', 'less', 'line', '.', 'their', 'pepperoni', 'nice', 'oily', 'way', 'like']","[('it', 'PRP'), ('thin', 'VBZ'), ('crust', 'JJ'), ('pizza', 'NN'), (',', ','), ('crispy', 'NN'), ('crust', 'NN'), ('delicious', 'JJ'), ('toppings', 'NNS'), ('!', '.'), ('if', 'IN'), ('go', 'JJ'), ('lunch', 'NN'), ('less', 'JJR'), ('line', 'NN'), ('.', '.'), ('their', 'PRP$'), ('pepperoni', 'JJ'), ('nice', 'JJ'), ('oily', 'RB'), ('way', 'NN'), ('like', 'IN')]","['pizza', 'crispy', 'crust', 'toppings', 'lunch', 'line', 'way']"
17,This SECRET  PIZZA was a secret for about 5 stays at the Cosmo,"['This', 'SECRET', 'PIZZA', 'was', 'a', 'secret', 'for', 'about', '5', 'stays', 'at', 'the', 'Cosmo']","['this', 'secret', 'pizza', 'secret', '5', 'stays', 'cosmo']","[('this', 'DT'), ('secret', 'JJ'), ('pizza', 'NN'), ('secret', 'JJ'), ('5', 'CD'), ('stays', 'NNS'), ('cosmo', 'NN')]","['pizza', 'stays', 'cosmo']"
18,Now that I know where it is its my favorite late night snack,"['Now', 'that', 'I', 'know', 'where', 'it', 'is', 'its', 'my', 'favorite', 'late', 'night', 'snack']","['now', 'i', 'know', 'favorite', 'late', 'night', 'snack']","[('now', 'RB'), ('i', 'VBZ'), ('know', 'VBP'), ('favorite', 'RB'), ('late', 'JJ'), ('night', 'NN'), ('snack', 'NN')]","['night', 'snack']"
19,Ask for it well done and the crust will be perfect,"['Ask', 'for', 'it', 'well', 'done', 'and', 'the', 'crust', 'will', 'be', 'perfect']","['ask', 'well', 'done', 'crust', 'perfect']","[('ask', 'RB'), ('well', 'RB'), ('done', 'VBN'), ('crust', 'NN'), ('perfect', 'NN')]","['crust', 'perfect']"
20,"The staff was great, they actually recognized me from the night before....I guess I've become a regular.","['The', 'staff', 'was', 'great', ',', 'they', 'actually', 'recognized', 'me', 'from', 'the', 'night', 'before', '...', '.I', 'guess', 'I', ""'ve"", 'become', 'a', 'regular', '.']","['the', 'staff', 'great', ',', 'actually', 'recognized', 'night', '...', '.i', 'guess', 'i', ""'ve"", 'become', 'regular', '.']","[('the', 'DT'), ('staff', 'NN'), ('great', 'JJ'), (',', ','), ('actually', 'RB'), ('recognized', 'VBN'), ('night', 'NN'), ('...', ':'), ('.i', 'NNP'), ('guess', 'NN'), ('i', 'NN'), (""'ve"", 'VBP'), ('become', 'VBN'), ('regular', 'JJ'), ('.', '.')]","['staff', 'night', '.i', 'guess', 'i']"
21,this is the BEST place to grab a quick slice of pizza,"['this', 'is', 'the', 'BEST', 'place', 'to', 'grab', 'a', 'quick', 'slice', 'of', 'pizza']","['best', 'place', 'grab', 'quick', 'slice', 'pizza']","[('best', 'JJS'), ('place', 'NN'), ('grab', 'NN'), ('quick', 'JJ'), ('slice', 'NN'), ('pizza', 'NN')]","['place', 'grab', 'slice', 'pizza']"
22,"It's right on your way leaving Marquee, the employees are so friendly, and the pizza tastes just as good when you're as it does when you're drunk ;)","['It', ""'s"", 'right', 'on', 'your', 'way', 'leaving', 'Marquee', ',', 'the', 'employees', 'are', 'so', 'friendly', ',', 'and', 'the', 'pizza', 'tastes', 'just', 'as', 'good', 'when', 'you', ""'re"", 'as', 'it', 'does', 'when', 'you', ""'re"", 'drunk', ';', ')']","['it', ""'s"", 'right', 'way', 'leaving', 'marquee', ',', 'employees', 'friendly', ',', 'pizza', 'tastes', 'good', ""'re"", ""'re"", 'drunk', ';', ')']","[('it', 'PRP'), (""'s"", 'VBZ'), ('right', 'JJ'), ('way', 'NN'), ('leaving', 'VBG'), ('marquee', 'NN'), (',', ','), ('employees', 'NNS'), ('friendly', 'RB'), (',', ','), ('pizza', 'JJ'), ('tastes', 'NNS'), ('good', 'JJ'), (""'re"", 'VBP'), (""'re"", 'VBP'), ('drunk', 'JJ'), (';', ':'), (')', ')')]","['way', 'marquee', 'employees', 'tastes']"
23,"Never heard about this ""Secret Pizza"" place but my friends say they are the best and it was on a show","['Never', 'heard', 'about', 'this', '``', 'Secret', 'Pizza', ""''"", 'place', 'but', 'my', 'friends', 'say', 'they', 'are', 'the', 'best', 'and', 'it', 'was', 'on', 'a', 'show']","['never', 'heard', '``', 'secret', 'pizza', ""''"", 'place', 'friends', 'say', 'best', 'show']","[('never', 'RB'), ('heard', 'VBN'), ('``', '``'), ('secret', 'JJ'), ('pizza', 'NN'), (""''"", ""''""), ('place', 'NN'), ('friends', 'NNS'), ('say', 'VBP'), ('best', 'JJS'), ('show', 'NN')]","['pizza', 'place', 'friends', 'show']"
24,"Well let me tell you this, it's the best pizza I've ever had","['Well', 'let', 'me', 'tell', 'you', 'this', ',', 'it', ""'s"", 'the', 'best', 'pizza', 'I', ""'ve"", 'ever', 'had']","['well', 'let', 'tell', ',', ""'s"", 'best', 'pizza', 'i', ""'ve"", 'ever']","[('well', 'RB'), ('let', 'VB'), ('tell', 'NNP'), (',', ','), (""'s"", 'POS'), ('best', 'JJS'), ('pizza', 'NN'), ('i', 'NN'), (""'ve"", 'VBP'), ('ever', 'RB')]","['tell', 'pizza', 'i']"
25,The white pizza is definitely the one to get,"['The', 'white', 'pizza', 'is', 'definitely', 'the', 'one', 'to', 'get']","['the', 'white', 'pizza', 'definitely', 'one', 'get']","[('the', 'DT'), ('white', 'JJ'), ('pizza', 'NN'), ('definitely', 'RB'), ('one', 'CD'), ('get', 'NN')]","['pizza', 'get']"
26,Just writing this review is making me hungry and craving for it even though I just had it like 4 hours ago.,"['Just', 'writing', 'this', 'review', 'is', 'making', 'me', 'hungry', 'and', 'craving', 'for', 'it', 'even', 'though', 'I', 'just', 'had', 'it', 'like', '4', 'hours', 'ago', '.']","['just', 'writing', 'review', 'making', 'hungry', 'craving', 'even', 'though', 'i', 'like', '4', 'hours', 'ago', '.']","[('just', 'RB'), ('writing', 'VBG'), ('review', 'NN'), ('making', 'VBG'), ('hungry', 'JJ'), ('craving', 'VBG'), ('even', 'RB'), ('though', 'IN'), ('i', 'NNS'), ('like', 'IN'), ('4', 'CD'), ('hours', 'NNS'), ('ago', 'RB'), ('.', '.')]","['review', 'i', 'hours']"
27,Secret pizza is a hidden gem inside The Cosmopolitan,"['Secret', 'pizza', 'is', 'a', 'hidden', 'gem', 'inside', 'The', 'Cosmopolitan']","['secret', 'pizza', 'hidden', 'gem', 'inside', 'the', 'cosmopolitan']","[('secret', 'JJ'), ('pizza', 'NN'), ('hidden', 'VBN'), ('gem', 'NN'), ('inside', 'IN'), ('the', 'DT'), ('cosmopolitan', 'NN')]","['pizza', 'gem', 'cosmopolitan']"
28, If you're looking to get a quick slice of pizza before heading out on the strip this is the place to check out,"['If', 'you', ""'re"", 'looking', 'to', 'get', 'a', 'quick', 'slice', 'of', 'pizza', 'before', 'heading', 'out', 'on', 'the', 'strip', 'this', 'is', 'the', 'place', 'to', 'check', 'out']","['if', ""'re"", 'looking', 'get', 'quick', 'slice', 'pizza', 'heading', 'strip', 'place', 'check']","[('if', 'IN'), (""'re"", 'VBP'), ('looking', 'VBG'), ('get', 'NN'), ('quick', 'JJ'), ('slice', 'NN'), ('pizza', 'NN'), ('heading', 'VBG'), ('strip', 'JJ'), ('place', 'NN'), ('check', 'NN')]","['get', 'slice', 'pizza', 'place', 'check']"
29,Best slice of pepperoni I've had in Vegas!,"['Best', 'slice', 'of', 'pepperoni', 'I', ""'ve"", 'had', 'in', 'Vegas', '!']","['best', 'slice', 'pepperoni', 'i', ""'ve"", 'vegas', '!']","[('best', 'JJS'), ('slice', 'NN'), ('pepperoni', 'NN'), ('i', 'NN'), (""'ve"", 'VBP'), ('vegas', 'NN'), ('!', '.')]","['slice', 'pepperoni', 'i', 'vegas']"
30,"this place is good, real good","['this', 'place', 'is', 'good', ',', 'real', 'good']","['place', 'good', ',', 'real', 'good']","[('place', 'NN'), ('good', 'JJ'), (',', ','), ('real', 'JJ'), ('good', 'JJ')]",['place']
31,the pizza in my opinion is a bit pricy for the slice you get,"['the', 'pizza', 'in', 'my', 'opinion', 'is', 'a', 'bit', 'pricy', 'for', 'the', 'slice', 'you', 'get']","['pizza', 'opinion', 'bit', 'pricy', 'slice', 'get']","[('pizza', 'JJ'), ('opinion', 'NN'), ('bit', 'NN'), ('pricy', 'JJ'), ('slice', 'NN'), ('get', 'NN')]","['opinion', 'bit', 'slice', 'get']"
32,if the slice was a bit bigger it'd be worth it,"['if', 'the', 'slice', 'was', 'a', 'bit', 'bigger', 'it', ""'d"", 'be', 'worth', 'it']","['slice', 'bit', 'bigger', ""'d"", 'worth']","[('slice', 'NN'), ('bit', 'NN'), ('bigger', 'JJR'), (""'d"", 'MD'), ('worth', 'VB')]","['slice', 'bit']"
33,the slice i got was a little bigger than your average chain pizza joints,"['the', 'slice', 'i', 'got', 'was', 'a', 'little', 'bigger', 'than', 'your', 'average', 'chain', 'pizza', 'joints']","['slice', 'got', 'little', 'bigger', 'average', 'chain', 'pizza', 'joints']","[('slice', 'NN'), ('got', 'VBD'), ('little', 'JJ'), ('bigger', 'JJR'), ('average', 'NN'), ('chain', 'NN'), ('pizza', 'NN'), ('joints', 'NNS')]","['slice', 'average', 'chain', 'pizza', 'joints']"
34,"if im in the area, will not hesitate to come back.","['if', 'im', 'in', 'the', 'area', ',', 'will', 'not', 'hesitate', 'to', 'come', 'back', '.']","['im', 'area', ',', 'hesitate', 'come', 'back', '.']","[('im', 'JJ'), ('area', 'NN'), (',', ','), ('hesitate', 'VBP'), ('come', 'VBN'), ('back', 'RB'), ('.', '.')]",['area']
35,Mmmm,['Mmmm'],['mmmm'],"[('mmmm', 'NN')]",['mmmm']
36,"Reminds me of the pizza back in NYC, where I'm from","['Reminds', 'me', 'of', 'the', 'pizza', 'back', 'in', 'NYC', ',', 'where', 'I', ""'m"", 'from']","['reminds', 'pizza', 'back', 'nyc', ',', 'i', ""'m""]","[('reminds', 'NNS'), ('pizza', 'VBP'), ('back', 'RB'), ('nyc', 'JJ'), (',', ','), ('i', 'JJ'), (""'m"", 'VBP')]",['reminds']
37,"And I have high standards when it comes to pizza!

The first time we passed by, it was about 1am and the line was wrapped down the hallway and around the pool table","['And', 'I', 'have', 'high', 'standards', 'when', 'it', 'comes', 'to', 'pizza', '!', 'The', 'first', 'time', 'we', 'passed', 'by', ',', 'it', 'was', 'about', '1am', 'and', 'the', 'line', 'was', 'wrapped', 'down', 'the', 'hallway', 'and', 'around', 'the', 'pool', 'table']","['and', 'i', 'high', 'standards', 'comes', 'pizza', '!', 'the', 'first', 'time', 'passed', ',', '1am', 'line', 'wrapped', 'hallway', 'around', 'pool', 'table']","[('and', 'CC'), ('i', 'VB'), ('high', 'JJ'), ('standards', 'NNS'), ('comes', 'VBZ'), ('pizza', 'RB'), ('!', '.'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN'), ('passed', 'VBN'), (',', ','), ('1am', 'CD'), ('line', 'NN'), ('wrapped', 'VBD'), ('hallway', 'NN'), ('around', 'IN'), ('pool', 'NN'), ('table', 'NN')]","['standards', 'time', 'line', 'hallway', 'pool', 'table']"
38,We went back the next day for a quick bite after some shopping and we were glad we did,"['We', 'went', 'back', 'the', 'next', 'day', 'for', 'a', 'quick', 'bite', 'after', 'some', 'shopping', 'and', 'we', 'were', 'glad', 'we', 'did']","['we', 'went', 'back', 'next', 'day', 'quick', 'bite', 'shopping', 'glad']","[('we', 'PRP'), ('went', 'VBD'), ('back', 'RP'), ('next', 'JJ'), ('day', 'NN'), ('quick', 'JJ'), ('bite', 'NN'), ('shopping', 'NN'), ('glad', 'NN')]","['day', 'bite', 'shopping', 'glad']"
39," 

I'll definitely be back for more, as most of the pizza in Vegas is inedible.","['I', ""'ll"", 'definitely', 'be', 'back', 'for', 'more', ',', 'as', 'most', 'of', 'the', 'pizza', 'in', 'Vegas', 'is', 'inedible', '.']","['i', ""'ll"", 'definitely', 'back', ',', 'pizza', 'vegas', 'inedible', '.']","[('i', 'NN'), (""'ll"", 'MD'), ('definitely', 'RB'), ('back', 'RB'), (',', ','), ('pizza', 'NN'), ('vegas', 'NN'), ('inedible', 'JJ'), ('.', '.')]","['i', 'pizza', 'vegas']"
40,This place is a hidden gem..,"['This', 'place', 'is', 'a', 'hidden', 'gem..']","['this', 'place', 'hidden', 'gem..']","[('this', 'DT'), ('place', 'NN'), ('hidden', 'VBZ'), ('gem..', 'NN')]","['place', 'gem..']"
41,literally hidden,"['literally', 'hidden']","['literally', 'hidden']","[('literally', 'RB'), ('hidden', 'JJ')]",[]
42," I'm not gonna go into too much detail, cuz I don't want too many tourists crowding the place and have it lose it's cool, speaky-easy-ness","['I', ""'m"", 'not', 'gon', 'na', 'go', 'into', 'too', 'much', 'detail', ',', 'cuz', 'I', 'do', ""n't"", 'want', 'too', 'many', 'tourists', 'crowding', 'the', 'place', 'and', 'have', 'it', 'lose', 'it', ""'s"", 'cool', ',', 'speaky-easy-ness']","['i', ""'m"", 'gon', 'na', 'go', 'much', 'detail', ',', 'cuz', 'i', ""n't"", 'want', 'many', 'tourists', 'crowding', 'place', 'lose', ""'s"", 'cool', ',', 'speaky-easy-ness']","[('i', 'NN'), (""'m"", 'VBP'), ('gon', 'NN'), ('na', 'TO'), ('go', 'VB'), ('much', 'JJ'), ('detail', 'NN'), (',', ','), ('cuz', 'NN'), ('i', 'VBP'), (""n't"", 'RB'), ('want', 'VB'), ('many', 'JJ'), ('tourists', 'NNS'), ('crowding', 'VBG'), ('place', 'NN'), ('lose', 'VBP'), (""'s"", 'POS'), ('cool', 'NN'), (',', ','), ('speaky-easy-ness', 'JJ')]","['i', 'gon', 'detail', 'cuz', 'tourists', 'place', 'cool']"
43, You'll just have to find it,"['You', ""'ll"", 'just', 'have', 'to', 'find', 'it']","['you', ""'ll"", 'find']","[('you', 'PRP'), (""'ll"", 'MD'), ('find', 'VB')]",[]
44," (Think of it as a fun game.)

The pizza is frickin' awesome","['(', 'Think', 'of', 'it', 'as', 'a', 'fun', 'game', '.', ')', 'The', 'pizza', 'is', 'frickin', ""'"", 'awesome']","['(', 'think', 'fun', 'game', '.', ')', 'the', 'pizza', 'frickin', ""'"", 'awesome']","[('(', '('), ('think', 'VB'), ('fun', 'NN'), ('game', 'NN'), ('.', '.'), (')', ')'), ('the', 'DT'), ('pizza', 'NN'), ('frickin', 'NN'), (""'"", ""''""), ('awesome', 'JJ')]","['fun', 'game', 'pizza', 'frickin']"
45, The crust is thin and perfect,"['The', 'crust', 'is', 'thin', 'and', 'perfect']","['the', 'crust', 'thin', 'perfect']","[('the', 'DT'), ('crust', 'NN'), ('thin', 'JJ'), ('perfect', 'NN')]","['crust', 'perfect']"
46," 
And for the price, including a drink, it's an amazing value for a quick bite, or for some late night gnoshing after some drinking.

Don't think that you'll be able to go and gather around a table","['And', 'for', 'the', 'price', ',', 'including', 'a', 'drink', ',', 'it', ""'s"", 'an', 'amazing', 'value', 'for', 'a', 'quick', 'bite', ',', 'or', 'for', 'some', 'late', 'night', 'gnoshing', 'after', 'some', 'drinking', '.', 'Do', ""n't"", 'think', 'that', 'you', ""'ll"", 'be', 'able', 'to', 'go', 'and', 'gather', 'around', 'a', 'table']","['and', 'price', ',', 'including', 'drink', ',', ""'s"", 'amazing', 'value', 'quick', 'bite', ',', 'late', 'night', 'gnoshing', 'drinking', '.', 'do', ""n't"", 'think', ""'ll"", 'able', 'go', 'gather', 'around', 'table']","[('and', 'CC'), ('price', 'NN'), (',', ','), ('including', 'VBG'), ('drink', 'NN'), (',', ','), (""'s"", 'POS'), ('amazing', 'VBG'), ('value', 'NN'), ('quick', 'JJ'), ('bite', 'NN'), (',', ','), ('late', 'JJ'), ('night', 'NN'), ('gnoshing', 'VBG'), ('drinking', 'NN'), ('.', '.'), ('do', 'VBP'), (""n't"", 'RB'), ('think', 'VB'), (""'ll"", 'MD'), ('able', 'JJ'), ('go', 'VB'), ('gather', 'RB'), ('around', 'RB'), ('table', 'JJ')]","['price', 'drink', 'value', 'bite', 'night', 'drinking']"
47, It's not a pizza parlour,"['It', ""'s"", 'not', 'a', 'pizza', 'parlour']","['it', ""'s"", 'pizza', 'parlour']","[('it', 'PRP'), (""'s"", 'VBZ'), ('pizza', 'JJ'), ('parlour', 'NN')]",['parlour']
48, Stools,['Stools'],['stools'],"[('stools', 'NNS')]",['stools']
49, Counter tops,"['Counter', 'tops']","['counter', 'tops']","[('counter', 'NN'), ('tops', 'NNS')]","['counter', 'tops']"
50, Pizza,['Pizza'],['pizza'],"[('pizza', 'NN')]",['pizza']
51, Beer,['Beer'],['beer'],"[('beer', 'NN')]",['beer']
52, Awesome.,"['Awesome', '.']","['awesome', '.']","[('awesome', 'NN'), ('.', '.')]",['awesome']
53,"If you want to feel like a Vegas baller without spending a fortune, spend some time at the GORGEOUS Cosmopolitan hotel, check out the amazing shops and grab a slice of two of pizza at the Pizzeria","['If', 'you', 'want', 'to', 'feel', 'like', 'a', 'Vegas', 'baller', 'without', 'spending', 'a', 'fortune', ',', 'spend', 'some', 'time', 'at', 'the', 'GORGEOUS', 'Cosmopolitan', 'hotel', ',', 'check', 'out', 'the', 'amazing', 'shops', 'and', 'grab', 'a', 'slice', 'of', 'two', 'of', 'pizza', 'at', 'the', 'Pizzeria']","['if', 'want', 'feel', 'like', 'vegas', 'baller', 'without', 'spending', 'fortune', ',', 'spend', 'time', 'gorgeous', 'cosmopolitan', 'hotel', ',', 'check', 'amazing', 'shops', 'grab', 'slice', 'two', 'pizza', 'pizzeria']","[('if', 'IN'), ('want', 'JJ'), ('feel', 'NN'), ('like', 'IN'), ('vegas', 'FW'), ('baller', 'NN'), ('without', 'IN'), ('spending', 'NN'), ('fortune', 'NN'), (',', ','), ('spend', 'JJ'), ('time', 'NN'), ('gorgeous', 'JJ'), ('cosmopolitan', 'JJ'), ('hotel', 'NN'), (',', ','), ('check', 'VB'), ('amazing', 'VBG'), ('shops', 'NNS'), ('grab', 'JJ'), ('slice', 'NN'), ('two', 'CD'), ('pizza', 'NN'), ('pizzeria', 'NNS')]","['feel', 'baller', 'spending', 'fortune', 'time', 'hotel', 'shops', 'slice', 'pizza', 'pizzeria']"
54,"While it's certainly not the best pizza I've ever had, it's quick, cheap, and an entire group of friends from vegetarians to meat lovers can carbo load before a night of heavy drinking.","['While', 'it', ""'s"", 'certainly', 'not', 'the', 'best', 'pizza', 'I', ""'ve"", 'ever', 'had', ',', 'it', ""'s"", 'quick', ',', 'cheap', ',', 'and', 'an', 'entire', 'group', 'of', 'friends', 'from', 'vegetarians', 'to', 'meat', 'lovers', 'can', 'carbo', 'load', 'before', 'a', 'night', 'of', 'heavy', 'drinking', '.']","['while', ""'s"", 'certainly', 'best', 'pizza', 'i', ""'ve"", 'ever', ',', ""'s"", 'quick', ',', 'cheap', ',', 'entire', 'group', 'friends', 'vegetarians', 'meat', 'lovers', 'carbo', 'load', 'night', 'heavy', 'drinking', '.']","[('while', 'NN'), (""'s"", 'POS'), ('certainly', 'RB'), ('best', 'RBS'), ('pizza', 'NN'), ('i', 'NN'), (""'ve"", 'VBP'), ('ever', 'RB'), (',', ','), (""'s"", 'POS'), ('quick', 'JJ'), (',', ','), ('cheap', 'JJ'), (',', ','), ('entire', 'JJ'), ('group', 'NN'), ('friends', 'NNS'), ('vegetarians', 'VBZ'), ('meat', 'NN'), ('lovers', 'NNS'), ('carbo', 'VBP'), ('load', 'NN'), ('night', 'NN'), ('heavy', 'JJ'), ('drinking', 'NN'), ('.', '.')]","['while', 'pizza', 'i', 'group', 'friends', 'meat', 'lovers', 'load', 'night', 'drinking']"
55,"Wanted to like this more, but was not impressed","['Wanted', 'to', 'like', 'this', 'more', ',', 'but', 'was', 'not', 'impressed']","['wanted', 'like', ',', 'impressed']","[('wanted', 'VBN'), ('like', 'IN'), (',', ','), ('impressed', 'VBD')]",[]
56,Tried pepperoni and a plain Sicilian,"['Tried', 'pepperoni', 'and', 'a', 'plain', 'Sicilian']","['tried', 'pepperoni', 'plain', 'sicilian']","[('tried', 'VBN'), ('pepperoni', 'NN'), ('plain', 'NN'), ('sicilian', 'JJ')]","['pepperoni', 'plain']"
