,business_id,cool,date,funny,review_id,stars,text,useful,user_id
32572,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-03-19,0,K4dGsfSNsFV4HqmqSerF8w,5,"Awesome""after the club"" pizza place!! Cool staff, generous slices and you gotta try the white slice!! I was staying in the Cosmo and this place was recommended to me, so I have to pay it forward and tell you guys you gotta try it!! Enjoy!!",0,NVSJWPpT2V54xJVVrcAUsA
38624,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-10-29,0,LvtCBUZtAMXS6M4GiVLSqg,4,"The pizza here is probably one of the best I've ever had .  They cook it  there in front of you - so you know it's fresh and boy does it taste good!

I am marking them down because their selection of toppings was so very poor.  When asked whether they did chicken or beef toppings, they said they only did ham and salami and looked at me as if I were crazy!!  What kind of pizza place doesn't have a chicken or beef option???  Weird!

Note that this is not really an eat in place, just a take out joint - well worth it though.",0,ZBgo4gWOBPAdv_StoI6voQ
42029,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-11-26,0,FVCw6rQ1A4Nwb4BtVf7JlA,5,"Great pizza, friendly and entertaining staff, and open late!",0,zDg5hYLM16mffxdMJUUNhQ
51381,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-06-10,1,Glb_CKcsJ6AAV_HLuhkLiw,3,"Personally the hype is not real... Perhaps it was extremely over-hyped up, maybe it was because I 100% sober haha. Idk it wasn't worth $28.50 for a pepperoni pizza. I live in Vegas and if you live here or visit I still think Verrazano Pizza and Rocco's Pizza are the best and waaay cheaper. 
We got the traditional pepperoni pizza and maybe that was my mistake because I hate salami pepperoni. If I happen to ever go back, I will try one slice of the raved white pizza. 
The price at Secret Pizza is RIDICULOUS... but what do you expect??? Vegas + Drunk people = Strip prices",1,wVvyI4GW0mKVhltAYOonoQ
58153,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-06-26,0,ELDDRx9ElcmaX_EPOGQ8oA,5,"Best pizza ever!  It was fun finding this place amd worth the time, offers pizza by the slice at a fair price. Guys running the place were super nice. If you need a late night snack this is the place to go while in Vegas.",0,87xM_Rw4CxMkLimsZPE1zg
59390,iCQpiavjjPzJ5_3gPD5Ebg,0,2017-01-14,0,6xhyzIOJOetp_LgRr9Q3jA,5,"This pizza was awesome!  It's not so ""secret"" anymore but it's worth seeking out for a slice. I had the white pizza after reading other reviews and it's was delish!  A little heavy on the garlic if that bothers you. It was perfect though for something greasy to help soak up the booze. 

You don't sit down here- you grab a slice, eat at the counter and go. You also don't go here for beverages- there selection is limited. You go here for the pizza and that's it. It took about 4 minutes to get our slices. Well worth the trip down to the Cosmopolitan for this pizza!!",0,k7Zjd36zIIZZPX-KdivZlw
59589,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-06-27,0,Lvh6FLVphhOwiRnVg9l1fA,5,This is a hidden place without a sign which adds a mystery to it which it true to its name. Pizza is wonderful. It is not fancy but good midnight spot.,0,q0Fib7dO9eN05fcSrMU47g
60355,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-02-17,0,LH_gHA_22rnOhiAWOQwkMg,1,"Horrible customer service stay away!!...I waited in line for an hour bcuz of the hype from my friends...got to the front only to be told that I wouldn't be served bcuz I cut in line...the same line I patiently waited in for an hour...when it was finally made clear by all around I had not cut in line did I receive an apology?...nothing close...instead the rude lady who had told me I cut in line then said ""look do you want to get served or not or get out of line!""...with a few choice words I told her no and left...asked to speak to a manager outside...got the head chef who sided with all of her actions based on previous people who had cut in line...moral of the story...you are just 3 bucks for what looked like an average piece of pizza to this place...and they will treat you like trash with no apologies if they feel like it...stay away!!!",0,Z9zizcx1ofXNYaH4OWmBVg
60872,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-04-10,0,wQm4cr6dvElH8r08f4bfTA,4,"Like all the other reviews mentioned, the pizza place is down a long hallway--walls decorated in album covers.  Pretty neat.  Pizza is pretty good.. thin crust..melty cheese.  Cheaper snack while you are on the strip.",1,H2SN20jdOSOpf17QQOSzVg
62295,iCQpiavjjPzJ5_3gPD5Ebg,1,2013-07-25,0,PZM5PK8gM2saUejbCmBRFA,5,"No matter where you are in Las Vegas, this is one of the best Pizza places there is! Whether your drunk or sober, the pizza is a treat! Be mindful of what time you show up here tho, FRIDAY and SATURDAY nights the line can be out the door and down the hall, but still worth the wait! Their white pizza is a must and their meatball on any pizza is a must! Love this place!",1,xaBLkvnxhRJl39ykKw8vfw
64800,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-12-02,0,0cC8ux48qoPr4aztrDy8Jw,5,"The secret pizza shop is worth the search. I would give directions but I don't like getting people lost.   3rd floor of the cosmopolitan shopping center, then ask another restaurant for directions. 
   Great old school NY pizza. Good prices, slices, great staff, nice variety. A great escape from the craziness of vegas, although I was there at 11 am on a Tuesday in December.",0,Gfj-lYEAqE-qgxq4Fz0cuw
69528,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-05-03,0,o3SC4-LgI5hGo6jnpsGVRA,5,"I love the secret pizza shop! this place is soo good. 

Came here on two separate occasions. First time was around 1am on a Saturday (er..Sunday morning) and the line was long. Took about 20 min to get to the front and my oh my...the drunkards have come full force. 

I suppose being sober in the cosmopolitan at that time next to the exit of one of the strips most popular clubs doesnt help. But we ordered a whole pie...their white pizza which consisted of olive oil, onions, mozzarella, ricotta, and gahhhhlic. Then we kicked it up with muchrooms and sliced meatball. OMG A. Maze. Ing. It was so good. the new york thin crust and the mounds of ricotta...just a taste explosion in your mouf. 

Only thing was it cost quite a bit...30 bucks to be more specific. But it was worth it...it was vegas...and what ever..splurge. 

Next day went back and got a slice of classic peperoni. Still...super great and was really good. 

Soda and beer are served in red cups (same ones u buy at local costco or wherever) and its free refills (soda). i dont know what would happen if you brought your own from pre gaming in your hotel...

Went to the restaurant next door and played some fooseball...that was a blast. the pool table had broken cues...but what do you expect.

The place is located on the 3rd floor between two restaurants...a japanese and a spanish. it has a large wooden door with no sign...",3,shmIbSORu6G5sVQ6-RrmuQ
72123,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-12-30,0,AejpcfgjkZmXptG60SsSpA,5,This is very good pizza and unique place. I order pepperoni pizza. Oh taste so good. I will comeback to try different kind of pizza. Highly recommend!,0,i00q34QJWY7FSJFjc7m1wg
76129,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-10-11,0,SPfmsnRZXDLjcH46yYvkPg,5,"This place is great after a night of heavy drinking!

The white pizza is my personal favorite.  The offer a white deep dish pizza on occasion that is absolutely heavenly!

There is sometimes a line but there are pin ball and arcade games to keep you entertained while you wait.  The restaurant is small but very retro feeling.  I go here every time I'm in Cosmo.",0,XG1tZ9csSuDdgFxqbKqcgQ
80036,iCQpiavjjPzJ5_3gPD5Ebg,1,2013-07-17,1,1W_c41qOnDBkD5Q3pv1gvw,5,"The pizza was tender and delicious.   It just melts in your mouth.  I love round table's king arthur, but this pizza just melts in your mouth.  I devoured my slice in a flash.  My brother and I then bought a large and devoured that as well.  Pizza lovers have to come here.  It is on the expensive side for a slice of pizza, but overall is an amazing experience.",1,mXEvgQU3ml42RDnuaUs_tw
81873,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-02-24,0,sRqsr9I0kKohdJPNy0_gRQ,4,"Great new york style pizza. Some of the toppings are not what you expect. The sausage and meatball are actually shaved which gives it a nice consistency. Before they serve your pizza, they give it a toast which makes the thin crust crispy. Real nice.",1,HEzVlIJeVpwjiNCPXNM-aA
85633,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-01-04,0,x46ZrC3AfFm9KQhA2LbEYw,4,"This place was so hidden that some of the Cosmo staff couldn't direct us in the right direction. 

I thought it was good, very greasy, and full of cheese. Only downfall is that they don't have ham. I luv ham, so a pizza without ham is like rice without meat, water without ice, and a shower without soap to me. Basically, it's a necessity to me. The huge pepperoni slices and sliced meatballs was filling, but it would have tasted better with ham. 

Not very many seats and it gets crowded because of the small space inside. We ordered a fresh made whole pizza and took it outside to sit on the large couches inside Cosmo. It was much more comfier outside and less noisy. 

I liked it, but I wish they had ham.",0,_RZUfGvv13R4PACFngFxDA
85640,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-12-25,0,_eBSpjcxMakbyRYL-2Fwqw,3,"One of those places where myth is better than reality.
Not a real hard place to find, not a hideway nor a secret place.
Located on 3rd floor and you'll see a large black door with a hallway  when you get off the escalator. Opens at 11:00 am. if you go before, you'll miss it for sure since they close the large door.
It's definitely a good pizza but definitely not the best. Probably best you can get around the area but you can get so much better even in LA.
$5.00 a piece but ridiculous $3.25 for a drink. Go to 2nd floor store right below and get a soda.
we tried mushroom pizza and white pizza.",1,dBdgHFnTzkIdl0dd4p9Law
88776,iCQpiavjjPzJ5_3gPD5Ebg,1,2017-06-03,1,21tuBFD7EcGIrjPZxu3jMg,5,"Great pizza. Make sure you go. Don't work too hard trying to find the secret location, just ask so you can get there fast. As simple as pizza is, many mess it up. Secret Pizza has it figured  out. My NY friend even loved it. Wait varies. Last time I went, I walked straight up and ordered. Nice staff.",0,ZyX2x0YTSe_-qBSvTDewzQ
89481,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-06-14,0,horC5Af-Uglnr55t1ULh2Q,5,"Fellow yelpers this is a great place, I'm from New Jersey and we know good pizza..  :)  This place is awesome, no signs or advertising just hidden spot whose location is only spread by word of mouth.  Located down a long unmarked corridor.  No map in the hotel reveals its location.   Also opened later than anything else in a area to get good food when you are drinking and hungry

When you walk in the first thing you'll notice is the long line of people..   (The secret is out) Mostly eat-in slices sold (about 5.50 a slice/30 bucks a pie), less than a dozen seats and counter space and twice as many people than seats..  We ordered 2 pies (4 types) and we asked them to pick their most popular mixes...  So the first was the white pie..  Simple, thin crust Mozzarella and ricotta but the whole pie was soaked is an olive oil/ butter garlic mix that was off the hook! My favorite..   The second was normal red Pie pepperoni and sausage.. The pepperoni was great but overly greasy and the sausage was weird looking but tasted good.  Next was a plain Cheese, sauce and mozzarella.  It was good but nothing to write home about except for the fact that this was good east coast pizza in Vegas! The last was a veggie mix of black olives, peppers and onions.. Overall really solid pizza..  

Shhhh- 3rd floor off the escalators.  Look for the long hallway..",3,0k6tH1bD4tFdXNEd7t0msg
90398,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-10-27,0,V9Pw1NZ8EFK-7DBKbGHW-g,2,"Secret Pizza was the first stop of my friend's 22nd birthday celebration last month. She had heard so much about it that she absolutely had to include it. You know the drill. Whatever birthday girl says, goes.

This place really is hidden in The Cosmo though. Basically, you're looking for this random hallway. That's all I'll spill. Can't spoil it too much for everyone right?

We had seven people in our group, so we waited, and waited, then waited some more. It took a while to reach that point in line where you could see the menu and prices posted on a wall. I realize that they also fulfill phone orders from the hotel's guests, but we were practically forced to order individual slices because waiting for a whole pizza would take an hour. Anyway, we each finally got our $5 pizza slices after at least 30 minutes, then walked out to stand around and munch on 'em.

To be frank, the pizza was decent, but overhyped and not worth the wait or price.",3,EHvPZx_EY_s4r_5K6fL6tg
90867,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-10-23,0,tDziZzzgZF883zxvzxJ-Lw,5,"Might be hard to find if you don't know about it, but I think it might be better that way.

Reasonably priced slices, and probably the best pizza on the strip. There was no line when I went but I could see there being a bit of a wait if you went later on in the night or ordered an entire pie.

Next time I'll be sure to bring a quarter or two as well to enjoy the arcade machines while I'm eating instead of heading straight back out into the casino.",0,SDUpHdVhbaJgrbyzRRUPDA
91272,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-11-24,0,dTvAR-RnOyt9okKDuseX3Q,5,Awesome service and tasty pizza! Wanted to try their white pizza but will save it for next time,0,D097-i-9hE-MLTLDBtD20A
92094,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-08-05,0,zL2e2EmofXWZ5w0ScqIZQw,4,"As soon as we heard about this place, we wanted to try it. We had 2 slices: a fluffy, square one (not sure exactly what they called it) and a pepperoni.

The square one was amazingly delicious with it's cheese and meat. It definitely hits the spot and satisfies the pizza craving, especially if you're a fan of a fluffy, Pizza Hut-type pizza. This is by far, the better. The pepperoni was great. I feel that a lot NY style pizzas are decent and this is far better than decent, but not as good as that darn square one. Big fan, will be back again before heading home.",0,eUqRSK6oO5OYJ7YVvRlx1w
93611,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-10-19,0,lp6f2h-4i9IAUD7Dz0qoVw,4,Late night pizza at its finest. One of the few places open late after a long night on the strip.  ricotta and garlic hit the spot.,0,OHzgSO3k1zpuO61Ji9NIdQ
97652,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-07-02,0,bSfMP14Rc64QJ1fy8NKoAg,4,Best kept secret for some delicious pizza! Pepperoni is my favorite! Line can get pretty long and there isn't much space to sit and eat. We took our pizza to second floor and found a lounge area to eat.,0,aajK988a16mxdxYScG8vxw
98121,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-09-20,0,7qpmfYBIcpuTfT2SQgM9wQ,2,"Heard a lot about this place so decided to check it out. Thought it would be fun to search for but it really wasn't hidden at all. 5 dollars for a slice? Okay not bad.. 4 dollars for a soda?? More expensive than Disneyland but didn't mind, of course until I received my soda in a red Solo cup. 4 dollars for a red solo cup??? No thanks! All in all the pizza was okay",0,Ht7pu0Fh8WwquNLPQIWUkw
99858,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-07-20,0,xXGi1Rv6vLg_WHZ-WhNzBg,4,"Great place!!! Will definitely come back!
A slice for around $5-$6 but huge and delicious, can't complain. 

The sausage and pepperoni is where it's at! The sausage is better than the average little pieces of sausage you'd find at other places. I've tried pin up pizza and this place I'd have to say, tops it in taste.


They offer parm, red pepper, and garlic at the table!",0,6vcbyjQ5C6tasI4P69CvHg
104899,iCQpiavjjPzJ5_3gPD5Ebg,8,2015-01-23,6,7Y1ETolowSezZY9OSpiV7g,5,"I was staying at the Cosmopolitan and heard about this place but, since I had meetings at most of my meals during my stay, it wasn't the sort of place that fit my schedule.
But, on the day I was leaving Las Vegas I wanted something quick and filling to hold me over until I got back to Phoenix and I hunted this place down.

I guess when The Cosmopolitan first opened it was fun finding this ""hidden"" place. But, the word it out and other yelpers have even posted photos of the hallway to look for.  However, if you aren't paying attention and maybe you're a bit hung over it would be possible to walk right past it.

They mostly serve pizza by the slice with a number of selections available so you can go in, order, eat, and leave.  They'll also make you a pie but you'll have to wait for it.

The pizza is NY style and it was excellent! By Las Vegas standards, not too expensive.
Great spot for a good casual meal off the beaten path.",12,8fU6lsiDxgu4E37aCahIuw
109854,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-01-04,0,gOLVzMov34sdkJwsjna6vQ,5,"This was honestly the best pizza I've ever had.  If you want to keep things simple or if you're sick of eating buffets all day, stop by here and give their pizza a try.",0,Wb2u0Nju_vCvWP3kXojbtQ
112382,iCQpiavjjPzJ5_3gPD5Ebg,1,2014-06-05,0,uHzo4Dbzmp30D2Ao64RK4g,5,"It's in a ""relatively"" easy place to find. The wait times are usually super long. But it's the cheapest/best food you can probably find in Vegas. There's also a nice pool table outside, so if you come with friends, you can hang out for sometime.",0,xWiLmkuiVwDnrutAJE3SIA
118598,iCQpiavjjPzJ5_3gPD5Ebg,0,2017-06-09,0,4Sw4v-hmGfNYaKEVP86yzQ,5,"This place has good pizza, stick to less toppings and you'll be happier. At around 10pm this spot seems to be like a pilgrimage for drunk women so be prepared to wait.",0,u8RCf1vViSL-capWAwDqjA
119301,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-05-08,0,Xvzw1fmGv1Zf_jePjPpAyg,5,"This little gem has no sign an is down a small, non-descript hallway to the right of the sushi place in the Cosmopolitan, Blue Ribbon (3rd floor east tower).

They sell by the slice or for entire pies. Four of us split a pepperoni pie after watching Cirque du Soleil's ""O"" and drinking a fair amount. Best pizza I've had in awhile! Highly recommend you add it to your Vegas experience -- open late, when it's best.",1,Hn_R1tGgHP-16TO6ZOKKPw
120502,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-01-27,0,etgFGIeiKA__lW-iUuPptQ,5,"Yes, yes and yes. Go up to the 3rd floor and walk forward from the escalators. You'll see an unmarked hallway and then you'll smell pizza... So good. Both their new York style crust and Sicilian are great. The white pie has garlic and cheeses. Ricotta to be specific!! So good. You won't regret this nice little break from the craziness of Vegas!",0,SBDsacynEE_YioxCdHJuTw
127262,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-04-27,0,gaIqzMrjpboe46Jjt7pNeQ,5,Love the texture of the crust and the constantly different kind of pizza popping out of there oven. W were the first one to get there.  Ordered a slice of pepperoni and a slice of sausage and peppercino. Then went back after that a split a slice of a different kind of sausage and ricotta pizza. Big groups I recommend maybe getting a whole pie and customizing it.,0,WO04X8RQ5DIvJNK7CZbfiQ
131113,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-05-11,0,fePop8uSVguXp_M5VoKqxw,5,"Because this place is somewhat of a secret it makes the pizza even more special.

This pizza is really impossible not to love, if you like pizza. This is that greasy NY style, big slice, perfect cust pizza that you crave. 

If you're cool enough to find this place, welcome to the cool club but keep it a secret.",0,xR-QCGdqlcUqrGIxExs_lA
133165,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-10-21,0,aYUw6akJhunmalww7ftvxQ,5,My friend told me about this great spot and I am SO glad she did!  It was the perfect cure in the afternoon for our hangover & we loved it so much so that we drunkenly returned that evening for a slice.  Worth the wait in line!  Total NY style pizza and super yummy!,0,qn1WbhMb-ztglkbh7Lx3PQ
137528,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-06-14,0,EvZThNjM_xJlCuOpuv0Dcw,3,"First, we couldn't find the place. It is between Blue Ribbon Sushi Bar & Grill and Jaleo. When we went there, there was such a long line we just left. 

But, we didn't realize there isn't any seating (well there are a couple of bar stools), and the line moves along at a pretty decent rate. We came back the next day and tried again and this time we waited in line. 

The pizza tasted fine except for it being very greasy. The customer service was very good, but I wouldn't go there again because the food was nothing special. I'm sure the quality of ingredients is good, but it's pizza, and it is not hard to find great pizza.",0,u0NCMq7f2NRumeiKxOtarw
139810,iCQpiavjjPzJ5_3gPD5Ebg,0,2017-02-21,0,dOnErVkpQ7PwsxjM5bnsbA,2,"Honestly, nothing special. First thing that popped in my head... the pizza from Costco tastes better. It's very over priced. My husband and I bought 3 slices total and one soda. That was $22. Honestly would not go back. 

If you're looking to buy a whole pizza, expect to pay anywhere from $27-35. Sodas are $4 each (a red solo cup full).",0,a5Q0gCBgpWpdQ5gvtp3UzQ
140806,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-02-16,0,7aVQVvagvM-AQ-6qiU0G4g,4,Very good pizza. Loved the record cover hallway. Fun to be in on the secret. It's a busy place with not much seating but there's a lounge area nearby that most people use.,0,IYQAnRZ892JSoAkZPEiRCQ
141444,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-11-11,1,egtOcfHS5G8qnn2sHrk0mQ,5,"Really scrummy pizza. I played Ms Pacman for the first time in decades...I am still rubbish at it, but what fun! There isn't much else to say about this hidden gem. Would you go here for a candlelight dinner for two? Nope. Could it be the best slice in Vegas? Quite possibly.

(Later edit: I have been back when I was the designated driver and had to up it to 5 stars! Not only is it the best slice in Vegas...it could be the best slice in the WORLD! Seriously!! It's THAT good)",1,BJOLgnc5gtHlkwhBIqNW5Q
141528,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-08-05,0,83DR_m0XIwGaNJS3PTP4JA,5,"Great low key pizza spot. The crust is crunchy and chewy. They were fast. It was tough to find, which made it fun.",0,goO1wU3cCAG6IdgRgmNFBw
148047,iCQpiavjjPzJ5_3gPD5Ebg,1,2011-04-27,0,L4I6CwBr2zQRK7TU-2NbgA,4,"If you want NY style pizza, find this place and order one.

Classic NY style pizza, done quite well.  I prefer the straight cheese pizza, but their specialty is the ""white"" pizza, which is also very good.  takes about 20 minutes to get a pizza, or you can opt for a slice or two.  If it's after the clubs start closing down, who knows how long you'll be waiting.

 
It's on the 3rd floor in a small hallway to the left of Jalio (or however its spelled).  Small place, basically stand and eat.  They do have Hipster brew on tap though.  Reasonable prices and great flavor.

 
Also, the Cosmopolitan in general is probably the swankest place in Vegas right now.  I really dig it and it's a fun place to hang out.",0,GFPx32mip-47kDOGYeJzog
148808,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-03-21,0,SZPuq0LUR2-MB8hmlzaTBQ,4,"Good, fast and cheap late night pizza at $5 a slice. 3rd floor in unmarked hallway. 
Crisp and tasty but pretty greasy so blot away",0,ffdCKek8XLmzfNdzovDi_w
